class_name,score,date_time,location,image_path,stages_info
Butterfly,99.99998807907104,2025-06-11 15:05:06,"Manila, Metro Manila, Philippines",Great Eggfly 18.jpg,"Reproductive stage, winged insect capable of flight."
Butterfly,99.99997615814209,2025-06-11 15:05:11,"Manila, Metro Manila, Philippines",Great Eggfly 21.jpg,"Reproductive stage, winged insect capable of flight."
Butterfly,99.97379183769226,2025-06-11 15:05:51,"Manila, Metro Manila, Philippines",461675572_8855319287832510_1297943003486363254_n.jpg,"Reproductive stage, winged insect capable of flight."
Pupae,90.6789779663086,2025-06-11 22:50:30,"Manila, Metro Manila, Philippines",deformedBody104.jpg,"Chrysalis (butterfly) or cocoon (moth) stage, metamorphosis occurs."
Pupae,99.87813830375671,2025-06-11 22:50:36,"Manila, Metro Manila, Philippines",deformedBody55.jpg,"Chrysalis (butterfly) or cocoon (moth) stage, metamorphosis occurs."
Pupae,99.79473948478699,2025-06-11 22:50:43,"Manila, Metro Manila, Philippines",deformedBody51.jpg,"Chrysalis (butterfly) or cocoon (moth) stage, metamorphosis occurs."
Pupae,99.90962743759155,2025-06-11 22:50:54,"Manila, Metro Manila, Philippines",02de1745-28c7-429a-98df-5037e2c80e6e.jpg,"Chrysalis (butterfly) or cocoon (moth) stage, metamorphosis occurs."
Pupae,99.84305500984192,2025-06-11 22:51:02,"Manila, Metro Manila, Philippines",99447097-183b-445f-805a-777225110d60 (1).jpg,"Chrysalis (butterfly) or cocoon (moth) stage, metamorphosis occurs."
Pupae,99.96464252471924,2025-06-11 22:51:10,"Manila, Metro Manila, Philippines",86734e5d-574e-4156-b2bb-848de8f35727.jpg,"Chrysalis (butterfly) or cocoon (moth) stage, metamorphosis occurs."
Eggs,48.68241548538208,2025-06-11 22:51:23,"Manila, Metro Manila, Philippines",Atlas_1.jpg,"Early developmental stage, typically laid on host plants."
Eggs,96.34650349617004,2025-06-11 22:51:29,"Manila, Metro Manila, Philippines",agamemnon_healthy_eggs (12).jpg,"Early developmental stage, typically laid on host plants."
Eggs,69.05486583709717,2025-06-11 22:51:35,"Manila, Metro Manila, Philippines",Common_Mormon483469508_1284689792605093_7794482831776568602_n.jpg,"Early developmental stage, typically laid on host plants."
Eggs,98.50153923034668,2025-06-11 22:51:41,"Manila, Metro Manila, Philippines",Golden_Birdwing_IMG_20240102_131810_295.jpg,"Early developmental stage, typically laid on host plants."
Eggs,63.91346454620361,2025-06-11 22:51:50,"Manila, Metro Manila, Philippines",Golden_Birdwing_IMG_20240102_131936_527.jpg,"Early developmental stage, typically laid on host plants."
Butterfly,99.99347925186157,2025-06-11 22:52:02,"Manila, Metro Manila, Philippines",Clippers Butterfly SYLVIA14.jpg,"Reproductive stage, winged insect capable of flight."
Butterfly,98.60097169876099,2025-06-11 22:52:07,"Manila, Metro Manila, Philippines",agamemnon_female (284).jpg,"Reproductive stage, winged insect capable of flight."
Butterfly,99.60662722587585,2025-06-11 22:52:12,"Manila, Metro Manila, Philippines",agamemnon_female (281).jpg,"Reproductive stage, winged insect capable of flight."
Butterfly,100.0,2025-06-11 22:52:18,"Manila, Metro Manila, Philippines",461769928_3816431918675062_1449542261533644464_n.jpg,"Reproductive stage, winged insect capable of flight."
Butterfly,99.93512034416199,2025-06-11 22:52:25,"Manila, Metro Manila, Philippines",Pink Rose kotsebuea17.jpeg,"Reproductive stage, winged insect capable of flight."
Butterfly,100.0,2025-06-11 22:52:30,"Manila, Metro Manila, Philippines",461478884_8836799543017818_73042687346098194_n.jpg,"Reproductive stage, winged insect capable of flight."
Butterfly,100.0,2025-06-11 22:52:38,"Manila, Metro Manila, Philippines",Common Jay_IMG_20230816_115753.jpg,"Reproductive stage, winged insect capable of flight."
Eggs,51.214587688446045,2025-06-11 22:53:52,"Manila, Metro Manila, Philippines",461173697_1262194961633590_1843996460025245608_n.jpg,"Early developmental stage, typically laid on host plants."
Larvae,70.99489569664001,2025-06-11 22:54:06,"Manila, Metro Manila, Philippines",agamemnon_larvae (78).jpg,"Caterpillar stage, primary feeding and growth phase."
Larvae,98.49419593811035,2025-06-11 22:54:13,"Manila, Metro Manila, Philippines",agamemnon_larvae (68).jpg,"Caterpillar stage, primary feeding and growth phase."
Butterfly,99.99994039535522,2025-06-13 11:08:32,"Manila, Metro Manila, Philippines",Emerald Swallowtail PP110008.jpg,"Reproductive stage, winged insect capable of flight."
Butterfly,100.0,2025-06-13 11:27:04,"Manila, Metro Manila, Philippines",batwing_001.jpg,"Reproductive stage, winged insect capable of flight."
Larvae,97.46422171592712,2025-06-16 12:01:09,"Manila, Metro Manila, Philippines",IMG_20230821_082124.jpg,"Caterpillar stage, primary feeding and growth phase."
Butterfly,99.9997615814209,2025-06-16 12:09:04,"Manila, Metro Manila, Philippines",IMG_20231230_072754_622.jpg,"Reproductive stage, winged insect capable of flight."
Larvae,99.36123490333557,2025-06-16 12:09:20,"Manila, Metro Manila, Philippines",IMG_20230821_082147.jpg,"Caterpillar stage, primary feeding and growth phase."
Larvae,97.2361147403717,2025-06-16 12:09:30,"Manila, Metro Manila, Philippines",IMG_20240103_113902_932.jpg,"Caterpillar stage, primary feeding and growth phase."
Butterfly,99.79727864265442,2025-06-16 12:09:41,"Manila, Metro Manila, Philippines",Larvae-GiantSilk_fig2.jpg,"Reproductive stage, winged insect capable of flight."
Pupae,52.035027742385864,2025-06-16 12:09:50,"Manila, Metro Manila, Philippines",Larvae_AtlasMoth_Atlas-Moth-3-490x321x0x3x490x315x1611658981.jpg,"Chrysalis (butterfly) or cocoon (moth) stage, metamorphosis occurs."
Butterfly,99.98639822006226,2025-06-16 12:09:59,"Manila, Metro Manila, Philippines",Larvae_AtlasMoth_7792583468_a9e8c4ff0e_b.jpg,"Reproductive stage, winged insect capable of flight."
Larvae,74.8094916343689,2025-06-16 12:10:12,"Manila, Metro Manila, Philippines",Larvae_AtlasMoth_16746478295_b58119b766_b.jpg,"Caterpillar stage, primary feeding and growth phase."
Larvae,98.52443933486938,2025-06-16 12:10:21,"Manila, Metro Manila, Philippines",Larvae-GiantSilk_OIP.jpg,"Caterpillar stage, primary feeding and growth phase."
Larvae,59.55079197883606,2025-06-16 12:10:28,"Manila, Metro Manila, Philippines",Larvae_AtlasMoth_plants-hear-themselves-being-eaten1-300x300.jpg,"Caterpillar stage, primary feeding and growth phase."
Pupae,52.035027742385864,2025-06-16 12:10:36,"Manila, Metro Manila, Philippines",Larvae_AtlasMoth_Atlas-Moth-3-490x321x0x3x490x315x1611658981.jpg,"Chrysalis (butterfly) or cocoon (moth) stage, metamorphosis occurs."
Pupae,72.09067344665527,2025-06-16 12:10:46,"Manila, Metro Manila, Philippines",Larvae_AtlasMoth_a.jpg,"Chrysalis (butterfly) or cocoon (moth) stage, metamorphosis occurs."
Butterfly,100.0,2025-06-22 13:10:38,"Manila, Metro Manila, Philippines",Common Mormon_MALE 7.jpg,"Reproductive stage, winged insect capable of flight."
Butterfly,99.98319149017334,2025-06-22 13:11:07,"Manila, Metro Manila, Philippines",Butterfly_GreyGlassyTiger_453409303_8342969242381333_524637359416050149_n.jpg,"Reproductive stage, winged insect capable of flight."
