defects_name,score,date_time,location,image_path,quality_info
Old Pupa,93.33136081695557,2025-06-11 15:14:53,"Manila, Metro Manila, Philippines",6e5ff21b-4fc3-45dc-a22e-5589192daf6e.jpg,"Pupae nearing emergence or past its prime, may be discolored or shriveled."
Healthy Pupae,85.48501133918762,2025-06-11 15:15:06,"Manila, Metro Manila, Philippines",PupaeCommonLime14.jpg,"No visible defects, good potential for adult emergence."
Old Pupa,40.70235788822174,2025-06-11 15:18:27,"Manila, Metro Manila, Philippines",IMG_20231227_154343_206.jpg,"Pupae nearing emergence or past its prime, may be discolored or shriveled."
Deformed body,48.89938831329346,2025-06-11 15:30:19,"Manila, Metro Manila, Philippines",IMG_20231227_154600_399.jpg,"Physical deformities, may indicate poor health or environmental stress."
Healthy Pupae,97.73266911506653,2025-06-11 15:31:49,"Manila, Metro Manila, Philippines",agamemnon_pupae (35).jpg,"No visible defects, good potential for adult emergence."
Healthy Pupae,100.0,2025-06-11 15:31:56,"Manila, Metro Manila, Philippines",IMG_20231225_072759_630.jpg,"No visible defects, good potential for adult emergence."
Healthy Pupae,97.70261645317078,2025-06-11 15:32:11,"Manila, Metro Manila, Philippines",cryss_pupae (10).jpg,"No visible defects, good potential for adult emergence."
Deformed body,93.87364387512207,2025-06-11 22:48:59,"Manila, Metro Manila, Philippines",deformedBody105.jpg,"Physical deformities, may indicate poor health or environmental stress."
Old Pupa,82.09248781204224,2025-06-11 22:49:04,"Manila, Metro Manila, Philippines",sample_deformedBody88.jpg,"Pupae nearing emergence or past its prime, may be discolored or shriveled."
Deformed body,96.76814675331116,2025-06-11 22:49:12,"Manila, Metro Manila, Philippines",deformedBody95.jpg,"Physical deformities, may indicate poor health or environmental stress."
Deformed body,83.65479111671448,2025-06-11 22:49:17,"Manila, Metro Manila, Philippines",deformedBody93.jpg,"Physical deformities, may indicate poor health or environmental stress."
Deformed body,98.27834367752075,2025-06-11 22:49:24,"Manila, Metro Manila, Philippines",deformedBody98.jpg,"Physical deformities, may indicate poor health or environmental stress."
Overbend,92.55993366241455,2025-06-13 11:29:09,"Manila, Metro Manila, Philippines",sample_overbend.jpg,"Abnormal curvature, can impede proper development."
Old Pupa,99.3040680885315,2025-06-13 19:18:53,"Manila, Metro Manila, Philippines",8e4e19e7-2e4a-402a-9432-8232b998fb72.jpg,"Pupae nearing emergence or past its prime, may be discolored or shriveled."
Old Pupa,99.97387528419495,2025-06-13 19:25:31,"Manila, Metro Manila, Philippines",Pupae_chyrssipus old3.jpg,"Pupae nearing emergence or past its prime, may be discolored or shriveled."
Old Pupa,98.46524596214294,2025-06-13 19:25:42,"Manila, Metro Manila, Philippines",86734e5d-574e-4156-b2bb-848de8f35727.jpg,"Pupae nearing emergence or past its prime, may be discolored or shriveled."
Old Pupa,99.24334287643433,2025-06-13 19:25:47,"Manila, Metro Manila, Philippines",4dcc3df5-cf23-4300-97d1-e7416c2401ae.jpg,"Pupae nearing emergence or past its prime, may be discolored or shriveled."
Old Pupa,99.24334287643433,2025-06-13 19:25:54,"Manila, Metro Manila, Philippines",4dcc3df5-cf23-4300-97d1-e7416c2401ae.jpg,"Pupae nearing emergence or past its prime, may be discolored or shriveled."
Old Pupa,99.45489764213562,2025-06-13 19:26:09,"Manila, Metro Manila, Philippines",91aec0fd-8af6-4b70-82f3-2be60a349650.jpg,"Pupae nearing emergence or past its prime, may be discolored or shriveled."
Overbend,87.47437596321106,2025-06-17 15:55:11,"Manila, Metro Manila, Philippines",22_over_bend.jpg,"Abnormal curvature, can impede proper development."
Stretch abdomen,68.8111662864685,2025-06-18 12:20:41,"Manila, Metro Manila, Philippines",stretch_mark26.jpg,"Abdomen appears stretched or elongated, potentially due to stress or disease."
